EMPLOYEE #,satisfaction_level,last_evaluation
21423,0.52,0.89
21427,0.62,0.91
21438,0.98,0.65
21447,0.67,0.56
21472,0.85,0.62
49681,0.84,0.85
21479,1,0.53
51394,0.72,0.76
21490,0.66,0.75
8328,0.64,0.71
53984,1,0.76
21501,0.75,0.59
21503,0.81,0.77
21510,0.31,0.98
21511,0.32,0.97
21512,0.48,0.5
21527,0.62,0.42
21530,0.77,0.86
21531,0.76,0.8
21540,0.68,0.41
21548,0.72,0.79
55072,0.87,0.91
55132,0.59,0.57
21561,0.7,0.64
21564,0.73,0.81
21576,0.58,0.62
56136,0.64,0.66
59219,0.89,0.66
21580,0.95,
21583,0.84,0.9
60416,0.6,0.99
21585,0.71,0.63
21598,0.6,0.95
60634,0.91,0.68
21607,0.75,1
21608,0.7,0.67
21612,0.23,0.64
21614,0.73,0.83
21618,0.99,0.49
60743,0.62,0.68
62284,0.98,0.89
21632,0.61,0.94
62805,0.52,0.92
21644,0.65,0.66
21651,0.59,0.9
21652,0.71,0.8
21662,0.18,0.7
21663,0.21,0.93
21666,0.15,0.67
21673,0.97,0.53
21676,0.39,0.48
63679,0.35,0.66
21702,0.88,0.58
21703,0.58,0.97
21716,0.61,0.78
21734,0.59,0.98
21745,0.55,0.41
21756,0.52,0.8
21760,0.71,0.77
21779,0.63,0.82
21797,0.17,0.84
21798,0.95,0.49
21802,1,0.73
64297,0.73,0.96
21816,0.8,0.64
21819,0.63,0.8
21824,0.95,0.59
67968,0.75,0.83
21841,0.64,0.72
21842,0.72,1
21848,0.72,0.53
68236,0.85,0.63
21857,0.24,0.94
69306,0.69,0.53
21872,0.69,0.7
21878,0.87,0.59
21880,0.78,0.91
21882,0.76,0.74
21887,0.35,0.7
21888,0.88,0.59
69989,0.78,0.79
21905,0.36,0.42
21908,0.24,0.7
21910,0.55,0.82
21912,0.91,0.53
21915,0.66,0.61
21919,0.57,0.82
21926,0.64,0.64
21935,0.63,0.98
21941,0.49,0.92
21942,0.7,0.7
21944,0.3,0.71
21945,0.51,0.52
71777,0.71,0.87
72050,0.64,0.67
21977,0.67,0.66
21980,0.83,0.94
21982,0.92,0.96
21986,0.84,0.53
21988,0.97,0.75
25848,0.19,0.91
22000,0.86,0.51
22023,0.71,0.69
22024,0.76,0.56
22035,0.68,0.88
73361,0.61,0.99
22047,0.85,0.79
22052,0.84,0.89
76162,0.62,0.63
22057,0.77,0.76
22065,0.79,0.93
76649,0.97,0.5
22091,0.59,0.61
22092,0.93,0.62
22098,0.85,0.54
22100,0.7,0.57
22106,0.54,0.91
77311,0.42,0.86
22121,0.96,0.75
77395,0.58,0.8
22135,0.61,0.59
22147,0.62,0.97
22150,0.68,0.7
43525,0.6,0.73
22154,0.7,0.91
77941,0.65,0.55
22169,0.48,0.59
22173,0.75,0.73
22177,0.69,0.78
22203,0.34,0.46
78799,0.59,0.49
22219,0.94,0.95
22225,0.98,0.77
22234,0.72,0.66
22235,0.79,0.7
22252,0.54,0.61
22256,0.73,0.95
22258,0.82,0.58
22267,0.57,0.45
22268,0.98,0.93
22275,0.91,0.65
22277,0.72,0.91
22279,0.48,0.73
22286,0.57,0.86
22287,0.86,0.96
22289,0.63,0.85
22291,0.81,0.52
79018,0.21,0.37
22303,0.9,0.66
79364,0.79,0.78
22314,0.95,0.49
63909,0.29,0.43
22321,0.81,0.52
22327,0.21,0.56
80379,0.7,0.83
22351,0.66,0.64
22353,0.16,0.86
22356,0.72,0.8
22357,0.51,0.5
22368,0.59,0.63
80407,0.66,0.4
22374,0.69,0.84
22377,0.69,0.94
57127,0.89,0.79
22382,0.52,0.56
22383,0.91,0.91
84388,0.96,0.53
22395,0.8,0.58
22402,0.55,0.77
22412,0.93,0.63
84562,0.93,0.86
84612,0.54,0.48
85104,0.48,0.76
22438,0.19,0.99
22452,0.95,0.71
22458,0.96,0.81
22468,0.63,0.89
22470,0.81,0.8
22478,0.5,0.88
22479,0.76,0.72
22480,0.84,0.49
22481,0.2,0.95
88089,0.78,0.92
22490,0.8,0.68
22492,0.94,0.57
22494,0.44,0.74
22511,0.92,0.85
22526,0.54,0.8
22530,0.56,0.56
22533,0.66,0.69
22535,0.8,0.91
22540,0.6,0.81
22543,0.73,0.73
89840,0.55,0.74
22550,0.7,0.71
22555,,0.68
22565,0.9,0.94
84264,0.8,0.78
22571,0.51,0.6
92203,0.86,0.96
22574,0.63,0.79
22575,0.83,0.93
22576,0.85,0.55
22579,0.8,0.57
22585,0.79,0.97
22595,0.37,0.71
22597,0.85,0.9
22603,0.76,0.56
93096,0.99,0.62
22610,0.55,0.63
22612,0.69,0.69
22615,0.68,1
22621,0.69,0.9
22628,0.65,0.7
22632,0.17,0.88
22643,0.48,0.65
22648,0.65,0.59
22652,0.57,0.49
22665,0.8,0.67
22666,0.8,0.6
93099,0.5,0.6
22675,0.95,0.87
22681,0.69,0.93
22685,0.74,0.57
22689,0.68,0.59
22690,0.68,0.55
94231,0.65,0.37
22707,0.85,0.92
22720,0.49,0.48
22723,0.19,0.8
22724,0.95,0.61
22729,0.63,0.62
22730,0.83,0.8
22734,0.62,0.78
22736,0.74,0.98
94186,0.7,0.87
22749,0.28,0.38
94836,0.39,0.56
22763,0.62,0.63
22764,0.79,0.54
22765,0.87,0.74
22766,0.29,0.75
22770,0.37,0.88
22771,0.68,0.55
22788,0.9,0.51
22794,0.97,0.65
22796,0.6,0.77
22799,0.58,0.79
95913,0.83,0.86
22802,0.83,0.73
22803,0.94,0.71
22805,0.69,0.9
97661,0.81,0.81
22808,0.19,0.5
22811,0.18,0.64
22813,0.58,0.63
22823,0.76,0.65
22829,0.26,0.47
22838,0.78,0.87
22843,0.71,0.56
22844,0.76,0.61
22848,0.44,0.81
22855,0.26,0.69
22870,0.75,0.57
22875,0.64,0.9
99771,0.79,0.71
22883,0.96,0.61
22886,0.63,1
22889,0.65,0.55
22897,0.76,0.81
22900,0.26,0.9
22907,0.84,0.73
22910,0.74,0.77
22914,0.53,0.45
22917,0.7,0.56
1308,0.62,0.69
1439,0.71,0.68
22930,0.5,0.65
22937,0.53,0.5
22959,0.88,0.89
22961,0.79,0.83
22964,0.69,0.89
22972,0.57,0.96
22977,0.68,0.8
22984,0.6,0.82
22993,0.7,0.9
22997,0.71,0.76
2291,0.49,0.51
23010,0.74,0.7
23011,0.2,0.93
23012,0.57,0.5
23018,0.83,0.48
23019,0.22,0.64
23025,0.67,0.57
23029,0.54,0.84
23038,0.54,0.53
3194,0.64,0.61
3218,0.23,0.84
23049,0.88,0.87
23053,0.83,0.54
23056,0.88,0.67
7256,0.9,0.85
23079,0.49,0.61
23096,0.55,0.49
23099,0.92,0.69
8682,0.72,0.67
23107,0.63,0.5
23109,0.98,0.66
23118,0.76,0.52
23130,0.42,0.56
23132,0.58,0.65
23136,0.85,0.82
23141,0.67,0.95
23144,0.58,1
23150,0.84,0.76
23160,0.56,0.68
23161,0.63,0.83
23164,0.51,0.92
23167,0.95,0.81
23191,0.85,0.55
23193,0.73,0.78
23220,0.2,0.49
23229,0.78,0.79
9271,0.83,0.8
23244,0.87,0.56
23250,0.98,0.99
23251,1,0.81
23252,0.7,0.55
10192,0.62,0.88
23258,0.67,0.72
23260,0.86,0.96
12244,0.44,0.57
23270,0.19,0.86
23272,0.76,0.83
23273,0.89,0.93
23300,0.25,0.97
23314,0.68,1
23332,0.38,0.5
23334,0.64,0.95
23356,0.76,0.62
12653,0.26,0.45
23371,0.69,0.67
23390,0.98,0.66
23393,0.86,0.83
23399,0.14,0.68
23401,0.58,0.63
23405,0.63,0.97
23420,0.7,0.91
23427,0.73,0.62
23448,0.89,0.52
23453,0.17,0.61
23458,0.86,0.73
23460,0.59,0.73
15458,0.22,0.51
23467,0.55,0.57
23469,0.74,0.6
23481,0.55,0.54
23485,0.67,0.94
23488,0.64,0.8
23492,0.58,0.71
23494,0.9,0.6
23498,0.89,0.9
23502,0.74,0.37
23509,0.78,0.91
23519,0.97,0.53
23525,0.52,0.92
23528,0.99,0.86
23531,0.76,0.44
23533,0.69,0.96
23537,0.59,0.69
23538,0.95,0.63
23547,0.69,0.81
23550,0.76,0.75
17762,0.7,0.84
23566,0.87,0.6
23573,0.44,0.55
23577,0.54,0.91
23596,0.55,0.75
21189,0.81,0.75
23605,0.5,0.55
23607,0.93,0.74
23612,0.64,0.5
21481,0.57,0.78
23618,0.95,0.74
23638,0.86,0.67
23645,0.82,0.58
23652,0.18,0.79
23657,0.58,0.7
23662,0.57,0.56
23666,0.94,0.83
21858,0.2,0.97
23676,0.73,0.75
23679,0.94,0.8
22696,0.99,0.61
23692,0.22,0.49
23693,0.67,0.66
23697,0.49,0.67
23704,0.78,0.95
23707,0.15,0.74
23708,0.91,0.89
23712,0.7,0.78
23723,0.6,0.95
23727,0.59,0.57
23728,0.59,0.93
23737,0.55,0.64
23738,0.42,0.75
23740,0.57,0.81
23743,0.72,0.51
23745,0.83,0.81
23747,0.89,0.93
23748,0.55,0.59
24231,0.53,0.75
24893,0.74,0.59
23760,0.63,0.98
25098,0.63,0.4
23775,0.61,0.97
23778,0.76,0.79
25874,0.67,0.82
23784,0.51,0.95
23789,0.67,0.55
23796,0.16,0.94
23798,0.34,0.85
6865,0.58,0.73
28954,0.5,0.71
23808,0.56,0.48
23810,0.56,0.98
23817,0.74,0.71
23818,0.69,0.99
23819,0.15,0.81
23833,0.58,0.67
23834,0.8,0.79
23835,0.5,0.57
23844,0.66,0.92
23848,0.81,0.78
23871,0.14,0.68
23873,0.92,0.85
23877,0.69,0.91
29072,0.66,0.99
23895,0.85,0.39
23900,0.83,0.69
31538,1,0.49
33987,0.68,0.65
23904,0.26,0.97
23919,0.35,0.41
23920,0.12,0.58
23930,0.91,0.93
23932,0.65,0.67
23933,0.78,0.72
23938,0.61,0.82
34000,0.64,0.51
38276,0.58,0.73
39186,0.63,0.76
39327,0.94,0.6
23963,0.26,0.81
23967,0.59,0.69
39572,0.78,0.8
23973,0.86,0.64
23976,0.79,0.73
39599,0.89,0.73
39765,0.34,0.99
23987,0.29,0.77
39877,0.71,0.89
23989,0.93,0.58
23990,0.94,0.76
24000,0.91,0.72
24006,0.71,0.96
41942,0.67,0.81
42490,0.54,0.42
24026,0.89,0.58
24029,0.94,0.91
24030,0.15,0.89
42959,0.45,0.92
24050,0.92,0.67
24059,0.63,0.56
24061,0.8,0.66
24075,0.45,0.72
44488,0.72,0.54
24085,0.84,0.36
24104,0.61,0.51
24107,0.63,0.88
24116,0.49,0.54
45766,0.68,0.51
24140,0.64,0.85
24145,0.61,0.64
46478,0.83,0.55
24158,0.94,0.51
24176,0.27,0.66
24184,0.6,0.49
24187,0.83,0.69
24190,0.53,0.75
24195,0.79,0.97
46860,0.96,0.49
24199,0.5,0.56
24202,0.68,0.81
47350,0.24,0.54
24207,0.8,0.8
24213,0.62,0.74
50399,1,0.85
24237,0.64,0.75
24241,0.51,0.55
51892,0.74,0.5
24250,0.49,0.99
24253,0.96,0.83
24256,0.59,0.62
24269,0.84,0.57
24276,0.16,0.84
24277,0.62,0.75
24285,0.79,0.67
24286,0.53,0.83
24290,0.17,0.48
24306,0.57,0.76
24323,0.65,0.82
24324,0.69,0.74
24341,0.3,0.8
24351,0.99,0.92
53407,0.5,0.69
24354,0.54,0.96
24359,0.69,0.57
24383,0.5,0.85
24385,0.66,0.73
24393,1,0.93
54265,0.15,0.61
24398,0.31,0.54
24406,0.65,0.49
24419,0.72,0.69
24422,0.84,0.85
24424,0.55,0.8
24436,0.6,0.58
24445,0.84,0.48
55705,0.68,0.87
24449,0.13,1
24450,0.88,0.98
24454,0.64,0.57
24459,0.19,0.95
24466,0.83,0.88
24471,0.17,0.41
56564,0.44,0.74
56645,0.52,0.55
24479,0.66,0.62
24481,0.96,0.55
21840,0.19,0.5
24505,0.86,
58460,0.65,0.57
24511,0.61,0.97
24515,0.53,0.96
24524,0.14,0.76
24526,0.74,1
24538,0.47,0.62
24548,0.6,0.56
24550,0.81,0.58
24551,0.95,0.59
58727,0.98,0.8
59375,0.52,0.8
24562,1,0.97
24565,0.16,0.74
24567,0.19,0.83
24571,0.94,0.87
24573,0.58,0.43
24579,0.92,0.69
24580,0.65,0.8
24584,0.74,0.74
24586,0.6,0.53
24591,1,1
24593,0.81,0.96
24594,0.54,0.67
24599,0.18,0.81
24600,0.82,0.88
24602,0.9,0.96
61842,0.62,0.62
24607,0.77,0.76
24610,0.58,0.86
24617,0.27,0.47
62285,0.78,0.72
24637,0.98,0.66
62360,0.75,0.5
24640,0.74,0.67
24653,0.9,0.99
24656,0.73,0.71
24662,0.9,0.62
24664,0.68,0.91
24671,0.9,0.74
24675,0.64,0.93
24680,0.63,0.9
24683,0.87,0.89
24694,0.6,0.55
24700,0.7,0.74
24715,0.15,0.94
24716,0.45,0.75
24719,0.43,0.9
24721,0.92,0.46
24728,0.72,0.81
24730,0.94,0.84
24741,0.74,0.52
24748,0.48,0.71
24749,0.84,0.76
63466,0.53,0.86
24757,0.45,0.88
24760,0.95,0.67
24762,0.95,0.58
24776,0.7,0.85
24777,0.19,0.93
24784,0.74,0.91
24790,0.54,0.59
24807,0.5,0.69
24810,0.95,0.72
24811,0.69,0.69
24829,0.24,0.74
63468,0.96,0.7
24839,0.61,0.5
24841,0.76,0.53
24842,0.61,0.64
71558,0.37,0.48
24851,0.81,0.9
24853,0.59,0.9
24863,0.73,0.82
24871,0.87,0.57
24873,0.67,0.66
72570,0.96,0.78
74059,0.98,0.51
80540,0.5,0.58
81030,0.49,0.71
24911,0.13,0.65
24913,0.57,0.68
24925,0.51,0.94
80751,0.99,0.69
85085,0.8,0.77
85909,0.56,0.39
24938,0.96,0.84
24946,0.96,0.5
24950,0.87,0.53
24965,0.61,0.9
86402,0.18,0.6
24972,0.24,0.77
24988,0.86,0.48
86565,0.25,0.62
24996,0.25,0.82
24999,0.63,0.55
88146,0.89,0.68
25010,0.87,0.82
25016,0.87,0.78
25017,0.71,0.99
25027,0.98,0.87
25031,0.16,0.51
25040,0.83,0.68
25046,0.65,0.77
88585,0.95,0.64
25058,0.67,0.67
25076,0.53,0.88
25077,0.74,0.94
25085,0.77,0.79
25088,0.13,0.72
25091,0.82,0.92
91049,0.88,0.65
92686,0.89,0.5
25099,0.85,0.51
25103,0.93,0.87
25109,0.62,0.7
25117,0.58,0.96
25124,0.98,0.5
25125,0.52,0.45
56338,0.76,0.49
70721,0.73,0.91
25141,0.74,0.64
94934,0.49,0.48
25144,0.91,0.97
25146,0.74,0.92
25154,0.86,0.82
95210,0.52,0.47
25165,0.95,0.81
25166,0.65,0.98
25167,0.7,0.56
25173,0.14,0.66
25179,0.92,0.53
25189,0.54,0.6
25190,0.76,0.95
25195,0.78,0.66
25197,0.85,0.86
96540,0.78,0.8
25201,0.55,0.72
25214,0.68,0.61
25218,0.91,0.68
25222,0.76,0.56
25224,0.15,0.67
25230,0.95,0.6
25236,0.74,0.37
97033,0.92,0.56
25262,0.64,0.89
25263,0.96,0.9
97643,0.21,0.72
98574,0.85,0.67
25266,0.52,0.86
25271,0.54,0.81
25273,0.56,0.81
25281,0.59,0.79
98699,0.88,0.58
25289,0.7,0.84
25291,0.95,0.58
25292,0.83,0.88
25302,0.76,0.62
99622,0.82,0.92
25324,0.55,0.97
25332,0.89,0.55
25333,0.66,0.94
25356,0.41,0.61
25358,0.83,0.77
25367,0.88,0.72
25370,0.56,0.66
25371,0.53,0.72
25373,0.8,0.41
25378,0.95,0.78
3017,0.9,0.88
25410,0.5,0.97
3504,0.4,0.59
25430,0.52,0.85
25435,0.51,0.5
25445,0.84,0.62
25447,0.78,0.98
25453,0.91,0.71
25475,0.59,0.71
29694,0.69,0.97
48368,0.87,0.93
25502,0.66,1
25503,0.5,0.54
25506,0.95,0.75
25507,0.77,0.64
25510,0.66,0.5
25517,0.61,0.98
25541,0.7,0.87
25553,0.89,0.71
25559,0.6,0.78
25561,0.62,0.51
25569,0.59,0.9
25571,0.69,0.59
25576,0.36,0.94
48919,0.59,0.93
25581,0.5,0.51
10069,0.53,0.99
25602,0.84,0.9
10308,0.51,0.95
10361,0.53,0.56
25624,0.98,0.63
25625,0.95,0.81
10505,0.13,0.76
25639,0.5,0.64
25642,0.93,0.76
25661,0.5,0.87
25662,0.66,0.84
25671,0.89,0.79
25673,0.46,0.43
25674,0.67,0.6
25678,0.96,0.9
25680,0.98,0.76
11763,0.67,0.57
15867,0.72,0.72
19680,0.65,0.49
25696,0.72,0.67
25698,0.78,0.58
25721,0.93,0.56
21352,0.73,0.85
25735,0.2,0.57
8268,0.47,0.5
25751,0.56,0.62
25755,0.72,0.86
25767,0.91,0.56
25772,0.79,0.49
25788,0.53,0.75
25806,0.14,0.51
25807,0.78,0.92
25816,0.52,0.74
25818,0.94,0.68
25824,0.83,0.8
25826,0.44,0.68
25831,0.72,0.74
24884,0.84,0.58
25853,0.76,0.99
25742,0.92,0.94
25866,0.58,0.93
25870,0.85,0.81
28128,0.74,0.51
25880,0.74,0.87
25887,0.72,0.8
25899,0.76,0.98
25904,0.85,0.72
25905,0.82,0.49
30549,0.6,0.93
25910,0.39,0.64
25911,0.83,0.53
25917,0.7,0.92
25927,0.84,0.97
25928,0.9,0.77
25929,0.18,0.84
25933,0.52,0.71
25934,0.87,0.51
25943,0.6,0.79
25958,0.72,0.93
25961,0.48,0.64
30700,0.75,0.53
25969,0.85,0.55
25974,0.39,0.41
25978,0.61,0.68
25982,0.6,0.61
25984,0.57,0.64
25988,0.19,0.68
25992,0.48,0.77
25993,0.69,0.75
26006,0.7,0.55
26011,0.65,0.92
26013,0.81,0.96
26020,0.85,0.95
26024,0.93,0.76
26028,0.72,0.94
26033,0.49,0.55
26034,0.94,0.47
26039,0.81,0.84
26055,0.92,0.78
26060,0.97,0.82
26062,0.98,0.61
26066,0.44,0.45
26072,0.72,0.87
26080,0.8,0.73
35364,0.6,0.72
26135,0.89,0.65
36769,0.69,0.57
40786,0.54,0.81
26145,0.97,0.75
26151,0.37,0.4
26154,0.73,0.52
26155,0.57,0.69
26161,0.86,0.66
26162,0.83,0.85
26170,0.19,0.52
26174,0.55,0.93
26184,0.6,0.65
26190,0.62,0.71
26198,0.65,0.55
43922,0.4,0.48
26204,0.82,0.78
26211,0.75,0.69
49544,0.83,0.53
26231,0.77,0.78
26234,0.59,0.98
26238,0.8,0.79
26243,0.84,0.55
26244,0.88,0.71
26251,0.37,0.9
26930,0.88,0.66
26263,0.69,0.85
26268,0.54,0.49
26273,0.76,0.57
26280,0.51,0.58
26290,0.16,0.52
26291,0.65,0.6
26295,0.54,0.81
26296,0.66,0.68
26298,0.95,0.65
53397,0.83,0.57
26322,0.98,0.84
26332,0.72,0.72
26334,0.71,0.62
26335,0.36,0.65
26343,0.55,0.65
56450,0.64,0.52
61290,0.62,0.57
61308,1,0.95
61443,0.91,0.91
26398,0.81,0.67
26400,0.71,0.92
26402,0.97,0.74
26405,0.75,0.86
64024,0.68,1
26415,0.87,0.68
26418,0.96,0.57
26420,0.41,0.86
72369,0.81,0.61
26424,0.68,1
73386,0.63,0.56
26440,0.6,0.84
26464,0.66,0.97
26468,0.69,0.82
74486,0.23,0.37
26480,0.52,0.63
26481,0.65,0.86
26482,0.78,0.4
75930,0.6,0.65
26491,0.9,0.62
26499,0.59,0.95
26500,0.89,0.78
26508,0.96,0.85
26510,0.68,0.76
26523,0.52,0.72
26524,0.68,0.94
26527,0.6,0.59
26528,0.28,0.83
26541,0.98,0.54
77866,0.67,0.52
26550,0.86,0.6
26559,0.83,0.9
26564,0.79,0.86
26569,0.54,0.86
26573,0.51,0.86
26582,0.75,0.65
26583,0.51,0.67
26589,0.73,0.74
26591,0.17,0.4
78311,0.88,0.59
26600,0.76,0.79
26605,0.29,0.77
26611,0.62,0.97
79387,0.5,0.85
26616,0.16,0.65
26620,0.18,0.99
70815,0.86,0.68
82991,0.68,0.52
26641,0.68,0.85
26645,0.89,0.78
26646,0.86,0.88
26655,0.43,0.41
26658,0.85,0.58
26685,0.94,0.8
85643,0.58,0.71
26699,0.43,0.6
26735,0.72,0.49
26736,0.95,0.96
26738,0.35,0.67
26742,0.77,0.79
26744,0.74,0.7
26751,0.5,0.6
26756,0.87,0.56
87081,0.55,0.48
26764,0.8,0.65
26768,0.49,0.52
87398,0.54,0.92
26780,0.21,0.87
26789,0.77,0.77
87455,0.53,0.73
26794,0.89,0.49
26795,0.25,0.59
26805,0.53,0.59
26812,0.44,0.45
26820,0.7,0.44
26830,0.54,0.76
26832,0.9,0.56
26834,0.69,0.8
26836,0.78,0.59
26838,0.91,0.49
26841,0.92,0.61
26843,0.96,0.88
26859,0.8,0.77
26862,0.52,0.67
26870,0.52,0.97
88603,0.93,0.96
26877,0.89,0.9
26880,0.83,0.61
26882,0.7,0.84
26883,0.89,0.74
26895,0.21,0.37
26906,0.67,0.78
26908,0.73,0.97
26914,0.85,0.51
26918,0.54,0.85
88646,0.74,0.94
89147,0.71,0.65
89541,0.76,0.52
89593,0.85,0.5
26937,0.82,0.89
26943,0.71,0.79
26946,0.79,0.65
26953,0.86,0.56
89625,0.9,0.78
26961,0.65,0.8
26967,0.53,0.74
26968,0.51,0.91
26970,1,0.76
26981,0.92,0.82
90261,1,0.59
26993,0.23,0.67
91156,0.52,0.77
27014,0.8,0.83
94741,0.59,0.72
97406,0.75,0.55
27037,0.99,0.58
27039,0.57,0.76
27044,0.87,0.95
27057,0.52,0.47
27058,0.57,0.9
27059,0.32,0.77
27062,0.66,0.81
27066,0.53,0.8
27069,0.55,0.62
27072,0.66,0.9
27074,0.69,0.92
27076,0.67,0.99
27082,0.75,0.37
27083,0.7,0.98
27087,0.71,0.74
1095,0.97,0.6
3325,0.5,0.48
27095,0.34,0.92
3966,0.67,0.74
78377,0.78,0.98
27117,0.52,0.91
27121,0.91,0.51
27124,0.79,0.92
6552,0.83,0.53
27134,0.74,0.76
27139,0.77,0.97
27143,0.49,0.71
27144,0.94,0.89
27146,0.99,0.91
27150,0.69,0.84
27154,0.88,0.59
27155,0.89,0.9
27167,0.8,0.58
27175,0.22,0.89
27176,0.87,0.83
87694,0.66,0.66
27181,0.9,0.68
27187,0.95,0.54
27191,0.49,0.56
27198,0.71,0.68
27209,0.2,0.96
27217,0.95,0.64
27221,0.68,0.8
12964,0.93,0.68
27226,0.85,0.57
27231,0.82,0.68
27233,0.87,0.42
27236,0.88,0.84
27245,0.98,0.79
27253,0.89,0.98
27254,0.92,0.51
14544,0.48,0.6
14746,0.67,0.49
27273,0.84,0.55
27276,0.97,0.78
18994,0.65,0.53
27279,0.79,0.87
27280,0.75,0.75
27282,0.69,0.64
27285,0.85,0.6
23756,0.34,0.41
27292,0.97,0.68
27299,0.39,0.99
27307,0.54,0.81
27311,0.78,0.67
27313,0.49,0.79
27327,0.17,0.83
27329,0.98,0.81
27330,0.9,1
27333,0.24,0.89
27346,0.92,0.79
27350,0.36,0.72
27352,0.19,0.76
27354,0.75,0.76
26695,0.91,0.81
27370,0.72,0.95
27371,0.62,0.64
27380,0.97,0.75
27396,0.69,0.64
27405,0.98,0.56
27406,0.62,0.53
27408,0.59,0.82
26872,0.73,0.98
27016,0.71,0.79
27435,0.85,0.58
27436,0.8,0.94
27439,0.48,0.38
27440,0.64,0.4
27449,0.19,0.64
27452,0.82,0.69
27454,0.99,0.96
28439,0.45,0.58
27460,0.89,0.89
28929,0.75,0.78
31181,0.8,0.86
27479,0.78,0.49
27481,0.95,0.76
27490,0.68,0.67
27494,0.82,0.97
27499,0.9,0.69
31484,0.59,0.99
27511,0.66,0.57
27517,0.63,0.56
27519,0.73,0.78
27521,0.63,0.93
27522,0.87,0.62
27533,0.62,0.87
27535,0.53,0.9
27546,0.94,0.83
27549,0.94,0.55
34070,0.55,0.64
27572,0.58,0.72
34371,0.98,0.88
27580,0.74,0.76
27594,0.65,0.48
27607,0.97,0.79
35444,0.58,0.75
27609,0.49,0.77
92619,0.69,0.98
27625,0.55,0.49
27626,0.65,0.89
27636,0.87,0.49
27638,0.12,0.7
27641,0.65,0.84
27648,0.23,0.66
27653,0.62,0.77
27655,0.86,0.72
27657,0.85,0.6
27658,0.74,0.76
27660,0.53,0.76
27661,0.99,0.44
27663,0.48,0.81
27673,0.72,0.74
27676,0.76,0.72
36796,0.41,0.7
27704,0.85,0.88
37844,0.62,0.49
27706,0.16,0.78
27708,0.58,0.61
27712,0.73,0.95
27714,0.28,0.76
27720,0.77,0.61
27729,0.85,0.86
27742,0.56,0.76
27757,0.81,1
27773,0.83,0.87
94460,0.49,0.48
27779,0.81,0.97
27780,0.56,0.92
27791,0.77,0.83
27792,0.73,0.5
27795,0.95,0.72
27798,0.69,0.68
27799,0.79,0.89
27801,0.63,0.57
27807,0.8,0.79
27808,0.64,0.61
27809,0.92,0.9
27810,0.96,0.75
27811,0.56,0.85
44706,0.37,0.61
27821,0.5,0.82
45123,0.49,0.58
27826,1,0.73
6850,0.82,0.75
27849,0.52,0.54
27857,0.76,0.96
27858,0.2,0.53
27861,0.6,0.9
27878,0.69,0.9
27883,0.93,0.51
27890,0.7,0.64
27898,0.56,0.54
27917,0.97,0.61
27931,0.24,0.65
27937,0.83,0.91
27940,0.55,0.85
27941,0.68,0.99
27949,0.48,0.53
27950,,0.95
27956,0.61,0.5
27958,0.5,0.74
47757,0.78,0.54
27969,0.61,0.68
27994,0.48,0.5
27998,0.93,0.92
27999,0.78,0.58
50280,0.92,0.99
28026,0.71,0.98
28037,0.15,0.42
28038,0.14,0.83
28042,0.56,0.72
28058,1,0.84
28063,0.77,0.82
52865,0.86,0.66
28075,0.88,0.95
54993,0.85,0.84
28086,0.95,0.56
28091,0.65,0.65
55223,0.7,0.55
28107,0.6,0.55
28114,0.84,0.83
28123,0.23,0.59
57481,0.89,0.75
28130,0.98,0.91
28138,0.88,0.83
28144,0.87,0.52
28145,0.93,0.96
28149,0.13,0.95
28158,0.99,0.56
28161,0.52,0.51
28170,0.58,0.98
57747,0.85,0.57
28195,0.41,0.59
28203,1,0.8
28211,0.63,0.64
28215,0.63,0.58
28216,0.63,0.9
28229,0.59,0.62
28232,0.88,0.77
59175,0.72,0.7
28235,0.67,0.81
28246,0.41,0.54
28250,0.3,0.68
28257,0.83,0.84
28258,0.73,0.93
28279,0.87,0.9
28282,0.93,0.74
28285,0.97,0.91
28290,0.7,0.54
28293,0.66,0.95
28295,0.62,0.66
60070,0.56,0.52
28314,0.32,0.72
37603,0.55,0.81
28334,0.69,0.91
28340,0.91,0.63
28342,0.33,0.82
28362,0.37,0.74
28367,0.95,0.57
28370,0.17,0.91
28378,0.95,0.53
28403,0.27,0.69
28406,0.91,0.95
60485,0.49,0.61
28422,0.6,0.56
28425,0.52,0.57
61794,0.54,0.65
28443,0.86,0.53
28445,0.78,0.87
28448,0.6,0.81
28449,0.15,0.91
28451,0.72,0.92
28457,0.94,0.85
28462,0.92,0.56
28464,0.6,0.88
28466,0.41,0.68
28471,0.5,0.43
52616,0.8,0.91
28484,0.67,0.83
28486,0.71,0.88
28493,0.66,0.85
28494,0.77,0.74
28499,0.62,0.54
28501,0.95,0.53
28519,0.89,0.75
28523,0.74,0.83
28535,0.19,0.8
28536,0.83,0.77
28538,0.53,0.64
28540,0.98,0.75
28546,0.74,0.99
28568,0.22,0.88
28579,0.76,0.68
64116,0.89,0.91
28598,0.5,0.84
28601,0.17,0.82
28604,0.46,0.38
28605,0.68,0.78
28607,0.77,0.86
65594,0.68,0.83
28609,0.15,0.7
28614,0.7,0.98
66683,0.66,0.96
28620,0.54,0.52
28625,0.57,0.57
28640,0.78,0.58
28659,0.14,0.83
67288,0.73,0.86
28668,0.65,0.97
28684,0.31,0.59
28687,0.77,0.55
68271,0.68,0.85
28702,0.79,0.69
69374,0.92,0.62
28708,0.77,0.96
